time,R_est,theta_deg,Q_F,Q_L,Q_R,chosen_action,chosen_action_name,front_state,front_min_depth_m,front_invalid_ratio,left_depth,center_depth,right_depth,left_invalid_ratio,center_invalid_ratio,right_invalid_ratio,left_danger,center_danger,right_danger,target_visible,target_like_front_object,depth_avoidance_active,disable_avoidance_near_target,ignore_invalids_near_target,s_forward_step,dpsi_step_deg,reward
1778602486.4485354,4.8936825,27.707144,10.438374,10.383674,10.548397,2,R,SAFE,1.414,0.17589699074074075,0.86,0.864,0.86,0.2659428794992175,0.2848689358372457,0.3455753504672897,0.1808174171290369,0.2297102628396643,0.23257852325828382,1,0,0,0,0,0.000996114743821154,0.0,0.0988512015342713
1778602486.6405027,4.837756,26.38995,9.704015,9.530904,9.786775,2,R,SAFE,1.408,0.1755787037037037,0.866,0.876,0.876,0.2796361502347418,0.27679968701095464,0.3542640186915888,0.18733167947076404,0.22022282686015088,0.23186252124044188,1,0,0,0,0,0.0005976688462926924,0.016873162552613508,0.1697659969329834
1778602486.8659809,4.970717,20.308151,9.854103,9.67914,9.926857,2,R,SAFE,1.566,0.1724681712962963,0.893,0.899,0.886,0.27613947574334896,0.32421263693270735,0.35489680685358255,0.17949065923317684,0.242909931177977,0.23068292445482866,1,0,0,0,0,0.00019922294876423058,0.0,-0.2306430339813233
1778602487.1101105,5.142422,10.631784,10.366146,10.249205,10.463917,2,R,SAFE,1.589,0.19741030092592593,0.884,0.893,0.878,0.2923757824726135,0.2957991001564945,0.35019957165109034,0.19004425860719876,0.22656234439465076,0.22842517611866334,1,0,0,0,0,0.0005976688462926922,0.0,-0.17914822578430178
1778602487.307607,5.1122212,1.4282047,10.10806,10.25197,10.194735,1,L,SAFE,2.414,0.21685474537037036,0.878,0.872,0.848,0.3402533255086072,0.31049491392801254,0.34187597352024923,0.2219601161260493,0.2435388657703799,0.23494665551543478,1,0,0,0,0,-0.0007968917950569236,0.0,-0.08216350078582763
1778602487.5125089,5.091914,-0.5503889,10.337991,10.214295,10.0377035,0,F,SAFE,1.823,0.21002604166666666,0.877,0.872,0.869,0.33793035993740217,0.2831572769953052,0.3240118769470405,0.2208479157774933,0.2257694017641201,0.21498272001557636,0,0,0,0,0,0.001992229487642308,0.0,1.1369423151016236
1778602487.73472,5.077571,0.70231014,7.396061,7.4424486,7.222181,1,L,SAFE,2.168,0.20400752314814816,0.88,0.879,0.86,0.33414025821596244,0.30130086071987483,0.3288064641744548,0.21719116784037565,0.23508798371034292,0.22167874716794111,0,0,0,0,0,0.0031875671802276927,-0.02188399020315046,-0.13291443586349486
1778602487.9678211,5.076884,7.450566,7.357723,7.462997,7.196947,1,L,SAFE,1.403,0.2154224537037037,0.875,0.869,0.856,0.3177572378716745,0.3042106807511737,0.3318243769470405,0.20853084098022484,0.2405147202660407,0.2252312995610309,1,0,0,0,0,0.001793006538878077,0.0,-0.1293470111489296
1778602488.1843078,4.941776,16.260317,10.0890045,10.285215,10.074185,1,L,SAFE,1.387,0.20201099537037037,0.882,0.872,0.906,0.2577024647887324,0.3005183881064163,0.3724445093457944,0.16750660211267604,0.23705412398634232,0.24208893107476634,1,0,0,0,0,0.0,-0.01968029476657307,0.14219132423400885
1778602488.3760757,4.8393307,26.14761,10.43261,10.355953,10.53691,2,R,SAFE,1.579,0.16077835648148148,0.895,0.892,0.876,0.24474276212832552,0.2677278951486698,0.3572332554517134,0.15908279538341158,0.20866959649310005,0.23379252513452287,1,0,0,0,0,0.000996114743821154,0.0,0.13243281602859502
